,station_id,bikes_available,docks_available,time
4752214,25,6,9,2013/10/14 13:33:01
4756651,25,3,12,2013/10/17 20:08:02
4756653,25,2,13,2013/10/17 20:10:03
4756654,25,1,14,2013/10/17 20:11:01
4756660,25,4,11,2013/10/17 20:17:01
4757456,25,5,10,2013/10/18 09:34:02
4779810,25,0,15,2013/11/03 02:00:01
4839731,25,10,4,2013/12/14 17:03:02
4839732,25,8,6,2013/12/14 17:04:02
4839733,25,9,5,2013/12/14 17:05:03
4949299,26,8,7,2013/08/29 12:06:01
4949334,26,9,6,2013/08/29 12:46:01
4950374,26,7,8,2013/08/30 08:13:01
4953247,26,6,9,2013/09/01 12:55:01
4953251,26,4,11,2013/09/01 12:59:01
4959618,26,10,5,2013/09/06 12:02:02
4968876,26,5,10,2013/09/13 13:54:01
4989049,26,11,4,2013/09/27 22:21:02
5005307,26,12,3,2013/10/09 08:28:02
5005372,26,13,2,2013/10/09 09:33:02
5016709,26,14,1,2013/10/17 12:57:01
5017110,26,2,13,2013/10/17 19:38:02
5017111,26,0,15,2013/10/17 19:39:02
5017113,26,1,14,2013/10/17 19:41:01
5017114,26,3,12,2013/10/17 19:42:02
5032291,26,15,0,2013/10/28 11:03:01
5064178,26,6,8,2013/11/19 16:11:02
5209788,27,7,8,2013/08/29 12:06:01
5209976,27,6,9,2013/08/29 15:35:01
5211461,27,5,10,2013/08/30 19:15:01
5211515,27,4,11,2013/08/30 20:16:01
5211620,27,3,12,2013/08/30 22:11:01
5212607,27,8,7,2013/08/31 16:13:02
5216518,27,9,6,2013/09/03 17:20:02
5217291,27,10,5,2013/09/04 08:07:01
5217822,27,11,4,2013/09/04 17:56:01
5219424,27,12,3,2013/09/05 23:03:01
5219979,27,13,2,2013/09/06 09:39:01
5229578,27,14,1,2013/09/13 17:36:02
5253549,27,2,13,2013/09/30 18:28:01
5254925,27,1,14,2013/10/01 17:49:02
5255687,27,0,15,2013/10/02 06:46:02
5296187,27,6,8,2013/10/30 19:51:03
5305625,27,15,0,2013/11/06 10:48:02
5398042,27,7,7,2014/01/09 18:23:03
5398083,27,5,9,2014/01/09 19:04:01
5463758,27,8,6,2014/02/24 11:21:02
5464028,27,9,5,2014/02/24 15:51:02
5470277,28,13,10,2013/08/29 12:06:01
5470351,28,12,11,2013/08/29 13:29:01
5470353,28,11,12,2013/08/29 13:31:01
5471342,28,14,9,2013/08/30 08:02:03
5471572,28,10,13,2013/08/30 12:20:01
5471852,28,9,14,2013/08/30 17:24:01
5474008,28,15,8,2013/09/01 09:02:01
5474238,28,16,7,2013/09/01 13:08:02
5474296,28,17,6,2013/09/01 14:14:01
5474400,28,18,5,2013/09/01 16:11:01
5474402,28,19,4,2013/09/01 16:13:01
5478372,28,8,15,2013/09/04 19:02:01
5479644,28,7,16,2013/09/05 17:55:01
5479905,28,6,17,2013/09/05 22:54:01
5480421,28,5,18,2013/09/06 08:47:01
5480559,28,4,19,2013/09/06 11:23:02
5480566,28,3,20,2013/09/06 11:30:01
5480567,28,2,21,2013/09/06 11:31:01
5514042,28,20,3,2013/09/30 18:32:01
5514043,28,21,2,2013/09/30 18:33:01
5514904,28,22,1,2013/10/01 09:04:02
5561277,28,0,23,2013/11/03 02:00:01
5606282,28,5,17,2013/12/04 08:26:02
5606318,28,4,18,2013/12/04 09:02:02
5606320,28,3,19,2013/12/04 09:04:02
5606747,28,1,22,2013/12/04 16:11:01
5666649,28,11,11,2014/01/15 09:41:02
5666652,28,10,12,2014/01/15 09:44:02
5666657,28,9,13,2014/01/15 09:49:03
5666709,28,8,14,2014/01/15 10:41:02
5666807,28,7,15,2014/01/15 12:19:02
5666809,28,6,16,2014/01/15 12:21:03
5668557,28,12,10,2014/01/16 17:30:02
5668558,28,13,9,2014/01/16 17:31:02
